# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774282258877000000,1774290441461000000,0
jps.project.serializers.load.ms,1774282258877000000,1774290441461000000,0
jps.global.get.libraries.ms,1774282258877000000,1774290441461000000,0
jps.load.project.to.empty.storage.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774282258877000000,1774290441461000000,0
workspaceModel.load.cache.from.file.ms,1774282258877000000,1774290441461000000,0
jps.storage.jps.conf.reader.load.component.ms,1774282258877000000,1774290441461000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774282258877000000,1774290441461000000,0
workspaceModel.sync.entities.ms,1774282258877000000,1774290441461000000,0
jps.global.get.library.ms,1774282258877000000,1774290441461000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774282258877000000,1774290441461000000,0
jps.reload.project.entities.ms,1774282258877000000,1774290441461000000,0
jps.apply.loaded.storage.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleBridge.update.option.ms,1774282258877000000,1774290441461000000,0
jps.facet.change.listener.before.change.events.ms,1774282258877000000,1774290441461000000,0
workspaceModel.global.updates.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1774282258877000000,1774290441461000000,0
jps.artifact.entities.serializer.save.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774282258877000000,1774290441461000000,0
jps.app.storage.content.reader.load.component.ms,1774282258877000000,1774290441461000000,0
jps.artifact.entities.serializer.load.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1774282258877000000,1774290441461000000,0
workspaceModel.global.updates.count,1774282258877000000,1774290441461000000,0
workspaceModel.orphan.listener.update.ms,1774282258877000000,1774290441461000000,0
workspaceModel.global.apply.state.to.project.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774282258877000000,1774290441461000000,0
